#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
28.5326480865 46.9648475647 -8.7288722992 17.3598384857 0.0000000000 0.0000000000 0.2935834229 4.8210501671
28.2549839020 46.5824661255 -8.6857805252 17.3285770416 0.0000000000 0.0000000000 0.2940795124 4.8436799049
27.9805545807 46.2032928467 -8.6414623260 17.2980270386 0.0000000000 0.0000000000 0.2945885658 4.8660731316
27.7091293335 45.8274307251 -8.5975236893 17.2680568695 0.0000000000 0.0000000000 0.2950985134 4.8882532120
27.4409027100 45.4549903870 -8.5559911728 17.2403602600 0.0000000000 0.0000000000 0.2956149280 4.9102244377
27.1758556366 45.0859222412 -8.5155076981 17.2125968933 0.0000000000 0.0000000000 0.2961427271 4.9320073128
26.9135723114 44.7204475403 -8.4761581421 17.1843452454 0.0000000000 0.0000000000 0.2966802716 4.9536232948
26.6539726257 44.3584480286 -8.4355802536 17.1543922424 0.0000000000 0.0000000000 0.2971847355 4.9750919342
26.3971920013 43.9998664856 -8.3923015594 17.1203689575 0.0000000000 0.0000000000 0.2976650000 4.9964442253
26.1429519653 43.6445884705 -8.3477573395 17.0841522217 0.0000000000 0.0000000000 0.2981435657 5.0176978111
25.8907909393 43.2928962708 -8.3024768829 17.0461044312 0.0000000000 0.0000000000 0.2985968888 5.0388541222
25.6403694153 42.9449462891 -8.2607784271 17.0081748962 0.0000000000 0.0000000000 0.2989975512 5.0599308014
25.3920402527 42.6005668640 -8.2186031342 16.9691753387 0.0000000000 0.0000000000 0.2993640006 5.0808916092
25.1460456848 42.2594299316 -8.1771144867 16.9315319061 0.0000000000 0.0000000000 0.2996773720 5.1017732620
24.9022407532 41.9214553833 -8.1368894577 16.8940048218 0.0000000000 0.0000000000 0.2999272346 5.1225714684
24.6608924866 41.5865020752 -8.0985078812 16.8565330505 0.0000000000 0.0000000000 0.3001506627 5.1432681084
24.4212837219 41.2547569275 -8.0615882874 16.8195743561 0.0000000000 0.0000000000 0.3003535271 5.1638836861
24.1835231781 40.9262466431 -8.0243587494 16.7834796906 0.0000000000 0.0000000000 0.3005171716 5.1844344139
23.9473247528 40.6012077332 -7.9858293533 16.7492427826 0.0000000000 0.0000000000 0.3006248176 5.2049183846
23.7131481171 40.2796592712 -7.9455909729 16.7161159515 0.0000000000 0.0000000000 0.3006776273 5.2253417969
23.4817981720 39.9611091614 -7.9049234390 16.6825962067 0.0000000000 0.0000000000 0.3007059395 5.2456674576
23.2529621124 39.6455764771 -7.8706669807 16.6508922577 0.0000000000 0.0000000000 0.3007177711 5.2658739090
23.0263786316 39.3331451416 -7.8388500214 16.6198711395 0.0000000000 0.0000000000 0.3007392883 5.2859225273
22.8022193909 39.0237770081 -7.8041520119 16.5887451172 0.0000000000 0.0000000000 0.3007577062 5.3058552742
22.5805587769 38.7174415588 -7.7649312019 16.5552558899 0.0000000000 0.0000000000 0.3007839024 5.3256678581
22.3610153198 38.4142608643 -7.7230439186 16.5190849304 0.0000000000 0.0000000000 0.3008407652 5.3453478813
22.1436958313 38.1140785217 -7.6807126999 16.4822673798 0.0000000000 0.0000000000 0.3009350598 5.3649082184
21.9284629822 37.8166999817 -7.6371293068 16.4447917938 0.0000000000 0.0000000000 0.3010437489 5.3843135834
21.7154273987 37.5221557617 -7.5935878754 16.4066123962 0.0000000000 0.0000000000 0.3011414111 5.4035563469
21.5053710938 37.2302207947 -7.5505619049 16.3671398163 0.0000000000 0.0000000000 0.3012217283 5.4226303101
21.2986793518 36.9407310486 -7.5082402229 16.3281345367 0.0000000000 0.0000000000 0.3012802005 5.4415550232
21.0948429108 36.6537513733 -7.4662590027 16.2880058289 0.0000000000 0.0000000000 0.3013300002 5.4603219032
20.8930397034 36.3695640564 -7.4228434563 16.2489643097 0.0000000000 0.0000000000 0.3013995588 5.4789271355
20.6932735443 36.0880126953 -7.3793821335 16.2108535767 0.0000000000 0.0000000000 0.3015140295 5.4973754883
20.4962368011 35.8088455200 -7.3359427452 16.1721687317 0.0000000000 0.0000000000 0.3016448319 5.5156598091
20.3021869659 35.5317459106 -7.2962083817 16.1332836151 0.0000000000 0.0000000000 0.3017839491 5.5337615013
20.1111583710 35.2566604614 -7.2559571266 16.0958404541 0.0000000000 0.0000000000 0.3019697070 5.5516982079
19.9236583710 34.9834251404 -7.2166252136 16.0601596832 0.0000000000 0.0000000000 0.3021935821 5.5694832802
19.7383651733 34.7126312256 -7.1794576645 16.0254230499 0.0000000000 0.0000000000 0.3024603426 5.5871348381
19.5545616150 34.4445114136 -7.1439652443 15.9926538467 0.0000000000 0.0000000000 0.3027416468 5.6046209335
19.3716487885 34.1790657043 -7.1090092659 15.9609508514 0.0000000000 0.0000000000 0.3030188978 5.6219382286
19.1899795532 33.9161758423 -7.0747332573 15.9299125671 0.0000000000 0.0000000000 0.3033055961 5.6390714645
19.0104331970 33.6553344727 -7.0427684784 15.9010782242 0.0000000000 0.0000000000 0.3036057949 5.6560158730
18.8329753876 33.3966369629 -7.0116844177 15.8739233017 0.0000000000 0.0000000000 0.3039070666 5.6728258133
18.6580848694 33.1398277283 -6.9805784225 15.8456888199 0.0000000000 0.0000000000 0.3041936457 5.6895337105
18.4861373901 32.8846588135 -6.9459533691 15.8184509277 0.0000000000 0.0000000000 0.3044627607 5.7061123848
18.3165397644 32.6312179565 -6.9082875252 15.7912321091 0.0000000000 0.0000000000 0.3047324121 5.7225060463
18.1489353180 32.3796806335 -6.8711752892 15.7640790939 0.0000000000 0.0000000000 0.3049902916 5.7387118340
17.9824657440 32.1304740906 -6.8377957344 15.7377958298 0.0000000000 0.0000000000 0.3052294850 5.7547497749
17.8168373108 31.8837852478 -6.8072948456 15.7098464966 0.0000000000 0.0000000000 0.3054343164 5.7706627846
17.6527442932 31.6391391754 -6.7809562683 15.6830348969 0.0000000000 0.0000000000 0.3055737615 5.7864799500
17.4901180267 31.3965854645 -6.7547683716 15.6561384201 0.0000000000 0.0000000000 0.3056802154 5.8022060394
17.3290061951 31.1562404633 -6.7264499664 15.6292610168 0.0000000000 0.0000000000 0.3057434559 5.8178610802
17.1693267822 30.9182338715 -6.6970529556 15.6007604599 0.0000000000 0.0000000000 0.3057647347 5.8334393501
17.0115261078 30.6824760437 -6.6674618721 15.5696678162 0.0000000000 0.0000000000 0.3057680428 5.8489875793
16.8555603027 30.4489479065 -6.6365590096 15.5363349915 0.0000000000 0.0000000000 0.3057400584 5.8645200729
16.7015819550 30.2176322937 -6.6043033600 15.5031938553 0.0000000000 0.0000000000 0.3056999147 5.8799915314
16.5495204926 29.9884433746 -6.5712747574 15.4726343155 0.0000000000 0.0000000000 0.3056410253 5.8953647614
16.3991985321 29.7616233826 -6.5421290398 15.4421215057 0.0000000000 0.0000000000 0.3055950403 5.9106602669
16.2505798340 29.5372219086 -6.5147891045 15.4114599228 0.0000000000 0.0000000000 0.3055611849 5.9258937836
16.1039466858 29.3151855469 -6.4894528389 15.3802433014 0.0000000000 0.0000000000 0.3055438697 5.9410939217
15.9594869614 29.0953350067 -6.4613165855 15.3464288712 0.0000000000 0.0000000000 0.3055153191 5.9562597275
15.8172321320 28.8776550293 -6.4296336174 15.3123769760 0.0000000000 0.0000000000 0.3054738641 5.9713778496
15.6764659882 28.6622085571 -6.3958964348 15.2776317596 0.0000000000 0.0000000000 0.3054129183 5.9864196777
15.5372219086 28.4488868713 -6.3609747887 15.2422037125 0.0000000000 0.0000000000 0.3053587079 6.0013484955
15.3997993469 28.2376117706 -6.3256149292 15.2065191269 0.0000000000 0.0000000000 0.3052867055 6.0161657333
15.2639493942 28.0283279419 -6.2939252853 15.1710796356 0.0000000000 0.0000000000 0.3051934242 6.0308251381
15.1299819946 27.8210315704 -6.2615275383 15.1377897263 0.0000000000 0.0000000000 0.3050479889 6.0453524590
14.9973640442 27.6156425476 -6.2305555344 15.1047630310 0.0000000000 0.0000000000 0.3048515320 6.0597534180
14.8659315109 27.4123840332 -6.1982531548 15.0723514557 0.0000000000 0.0000000000 0.3046146333 6.0740785599
14.7354412079 27.2114372253 -6.1639966965 15.0405530930 0.0000000000 0.0000000000 0.3043539524 6.0883507729
14.6057176590 27.0127277374 -6.1286706924 15.0100488663 0.0000000000 0.0000000000 0.3040789366 6.1025309563
14.4768733978 26.8159580231 -6.0957775116 14.9801788330 0.0000000000 0.0000000000 0.3037773371 6.1165857315
14.3491153717 26.6209964752 -6.0665454865 14.9508686066 0.0000000000 0.0000000000 0.3034620583 6.1305122375
14.2219276428 26.4281044006 -6.0384373665 14.9221553802 0.0000000000 0.0000000000 0.3031787872 6.1443028450
14.0957336426 26.2370777130 -6.0090384483 14.8924341202 0.0000000000 0.0000000000 0.3029157221 6.1579718590
13.9703788757 26.0480537415 -5.9810180664 14.8627662659 0.0000000000 0.0000000000 0.3026655316 6.1714715958
13.8464641571 25.8607044220 -5.9531788826 14.8330173492 0.0000000000 0.0000000000 0.3024213314 6.1848592758
13.7242059708 25.6749973297 -5.9265484810 14.8041973114 0.0000000000 0.0000000000 0.3021488190 6.1981806755
13.6042032242 25.4907970428 -5.8999843597 14.7743797302 0.0000000000 0.0000000000 0.3018225133 6.2113924026
13.4866342545 25.3081817627 -5.8744063377 14.7437095642 0.0000000000 0.0000000000 0.3014636636 6.2244739532
13.3709526062 25.1270618439 -5.8486938477 14.7130537033 0.0000000000 0.0000000000 0.3010908067 6.2374968529
13.2569036484 24.9477062225 -5.8191156387 14.6824102402 0.0000000000 0.0000000000 0.3007019460 6.2504658699
13.1441917419 24.7701263428 -5.7871298790 14.6510915756 0.0000000000 0.0000000000 0.3002975583 6.2633848190
13.0320997238 24.5948543549 -5.7566947937 14.6212644577 0.0000000000 0.0000000000 0.2998974621 6.2762484550
12.9208927155 24.4217357635 -5.7315607071 14.5925703049 0.0000000000 0.0000000000 0.2995127439 6.2890453339
12.8100929260 24.2509422302 -5.7090506554 14.5668210983 0.0000000000 0.0000000000 0.2991454601 6.3017439842
12.6998596191 24.0825653076 -5.6861062050 14.5442914963 0.0000000000 0.0000000000 0.2988005877 6.3143658638
12.5907239914 23.9161262512 -5.6636290550 14.5237779617 0.0000000000 0.0000000000 0.2984550893 6.3269090652
12.4831027985 23.7511920929 -5.6421098709 14.5030460358 0.0000000000 0.0000000000 0.2981384695 6.3393936157
12.3776483536 23.5873394012 -5.6230282784 14.4822807312 0.0000000000 0.0000000000 0.2978385091 6.3518629074
12.2736682892 23.4248008728 -5.6026554108 14.4611196518 0.0000000000 0.0000000000 0.2975583971 6.3642973900
12.1708498001 23.2639255524 -5.5816154480 14.4398927689 0.0000000000 0.0000000000 0.2972957194 6.3766980171
12.0689058304 23.1049289703 -5.5612106323 14.4182357788 0.0000000000 0.0000000000 0.2970348597 6.3890595436
11.9679765701 22.9479236603 -5.5405025482 14.3952217102 0.0000000000 0.0000000000 0.2967689335 6.4013705254
11.8683795929 22.7928943634 -5.5170798302 14.3711776733 0.0000000000 0.0000000000 0.2964964807 6.4136013985
11.7704219818 22.6398372650 -5.4949269295 14.3470754623 0.0000000000 0.0000000000 0.2962222993 6.4257869720
11.6735963821 22.4887275696 -5.4733510017 14.3226099014 0.0000000000 0.0000000000 0.2959509492 6.4379215240
11.5772485733 22.3393898010 -5.4519147873 14.2967290878 0.0000000000 0.0000000000 0.2956793010 6.4499554634
11.4816226959 22.1916561127 -5.4312448502 14.2697572708 0.0000000000 0.0000000000 0.2953864932 6.4618787766
11.3870658875 22.0453128815 -5.4099869728 14.2428646088 0.0000000000 0.0000000000 0.2950382531 6.4736957550
11.2939062119 21.9003543854 -5.3897433281 14.2175798416 0.0000000000 0.0000000000 0.2946439385 6.4854102135
11.2021160126 21.7570610046 -5.3709826469 14.1938018799 0.0000000000 0.0000000000 0.2942402661 6.4970269203
11.1107511520 21.6158752441 -5.3521847725 14.1702871323 0.0000000000 0.0000000000 0.2938348651 6.5084986687
11.0199985504 21.4766502380 -5.3324975967 14.1472148895 0.0000000000 0.0000000000 0.2934004068 6.5198259354
10.9302968979 21.3388729095 -5.3127841949 14.1246833801 0.0000000000 0.0000000000 0.2929455042 6.5310435295
10.8418006897 21.2024116516 -5.2933182716 14.1040115356 0.0000000000 0.0000000000 0.2924730182 6.5421957970
10.7541198730 21.0674266815 -5.2743682861 14.0834579468 0.0000000000 0.0000000000 0.2919865549 6.5532808304
10.6672248840 20.9339733124 -5.2574553490 14.0615587234 0.0000000000 0.0000000000 0.2915083468 6.5642971992
10.5817070007 20.8016490936 -5.2396788597 14.0378589630 0.0000000000 0.0000000000 0.2910379469 6.5752501488
10.4975023270 20.6703186035 -5.2225971222 14.0125913620 0.0000000000 0.0000000000 0.2905633152 6.5861692429
10.4146480560 20.5401668549 -5.2055692673 13.9885406494 0.0000000000 0.0000000000 0.2900627255 6.5969767570
10.3330116272 20.4112434387 -5.1888713837 13.9657316208 0.0000000000 0.0000000000 0.2895422578 6.6076955795
10.2523956299 20.2834644318 -5.1706557274 13.9431095123 0.0000000000 0.0000000000 0.2889912724 6.6183514595
10.1732645035 20.1566333771 -5.1514086723 13.9199314117 0.0000000000 0.0000000000 0.2884464264 6.6289515495
10.0953607559 20.0311546326 -5.1324839592 13.8958950043 0.0000000000 0.0000000000 0.2879075408 6.6395058632
10.0178251266 19.9074745178 -5.1108279228 13.8712244034 0.0000000000 0.0000000000 0.2874048650 6.6499934196
9.9401102066 19.7856903076 -5.0877051353 13.8457670212 0.0000000000 0.0000000000 0.2869229019 6.6604557037
9.8625354767 19.6657161713 -5.0641798973 13.8201036453 0.0000000000 0.0000000000 0.2864467502 6.6708869934
9.7860565186 19.5469436646 -5.0407214165 13.7947139740 0.0000000000 0.0000000000 0.2859850526 6.6812925339
9.7106533051 19.4294452667 -5.0160698891 13.7696218491 0.0000000000 0.0000000000 0.2855303884 6.6916561127
9.6357908249 19.3134632111 -4.9928317070 13.7449283600 0.0000000000 0.0000000000 0.2851038277 6.7019515038
9.5604896545 19.1992931366 -4.9747085571 13.7206897736 0.0000000000 0.0000000000 0.2847104669 6.7122097015
9.4849967957 19.0865707397 -4.9592213631 13.6985597610 0.0000000000 0.0000000000 0.2843493819 6.7224326134
9.4104385376 18.9747276306 -4.9395785332 13.6777038574 0.0000000000 0.0000000000 0.2839822173 6.7326188087
9.3376245499 18.8632831573 -4.9172096252 13.6572132111 0.0000000000 0.0000000000 0.2836003602 6.7427458763
9.2661209106 18.7524223328 -4.8959770203 13.6354408264 0.0000000000 0.0000000000 0.2832112908 6.7528209686
9.1955451965 18.6423854828 -4.8750886917 13.6137847900 0.0000000000 0.0000000000 0.2828559279 6.7628259659
9.1255884171 18.5332927704 -4.8547654152 13.5943002701 0.0000000000 0.0000000000 0.2825370729 6.7727289200
9.0564651489 18.4255561829 -4.8383173943 13.5758161545 0.0000000000 0.0000000000 0.2822243869 6.7825293541
8.9879436493 18.3191375732 -4.8233852386 13.5566091537 0.0000000000 0.0000000000 0.2819109559 6.7922215462
8.9195785522 18.2144832611 -4.8052253723 13.5362224579 0.0000000000 0.0000000000 0.2816035748 6.8018279076
8.8514461517 18.1115074158 -4.7858300209 13.5162181854 0.0000000000 0.0000000000 0.2812661529 6.8113493919
8.7842712402 18.0096435547 -4.7673268318 13.4974336624 0.0000000000 0.0000000000 0.2808967531 6.8208117485
