#         COST_U        COST_H      COST_D       COST_S       REGU_H       REGU_A          HPO 
23.9925880432 459.8475952148 108.0348510742 0.0000000002 3.7826597691 0.0000000000
22.6438026428 450.6470336914 94.9205627441 0.0004415942 3.3422625065 0.0124853645
21.5462417603 441.6223754883 82.7389602661 0.0014741860 2.9668176174 0.0233037397
20.7758827209 432.7634887695 72.8446426392 0.0029931094 2.6539647579 0.0398479365
20.2258491516 424.0755615234 64.7251739502 0.0049191872 2.3909556866 0.0603595674
19.8364696503 415.5554809570 57.8392181396 0.0071810069 2.1645331383 0.0827292204
19.6001472473 407.2030029297 52.0472145081 0.0097383307 1.9660508633 0.1061985642
19.4998321533 399.0184020996 47.0842552185 0.0125396810 1.7893600464 0.1301658154
19.4839248657 391.0020751953 42.7723922729 0.0155563187 1.6290950775 0.1537771523
19.5202770233 383.1530761719 39.0318260193 0.0187551305 1.4830279350 0.1766802073
19.5966968536 375.4709472656 35.7146682739 0.0221097562 1.3491487503 0.1986919492
19.6958732605 367.9547119141 32.8722610474 0.0255981330 1.2256669998 0.2195655704
19.8072338104 360.6013488770 30.3931674957 0.0292023141 1.1109042168 0.2393582463
19.9327678680 353.4096679688 28.2502670288 0.0329040810 1.0032987595 0.2581268549
20.0591259003 346.3779907227 26.3902835846 0.0366888531 0.9017479420 0.2759078145
20.1770248413 339.5043640137 24.7838726044 0.0405455157 0.8062517643 0.2926083803
20.2746753693 332.7862243652 23.3695259094 0.0444632359 0.7159256935 0.3082979918
20.3479194641 326.2204589844 22.1344814301 0.0484312735 0.6305348873 0.3230117559
20.4014358521 319.8038940430 21.0521907806 0.0524317920 0.5486798286 0.3366956115
20.4367332458 313.5323181152 20.1061477661 0.0564533398 0.4701125622 0.3493446112
20.4481220245 307.4022216797 19.2732868195 0.0604895465 0.3945147991 0.3611063957
20.4373359680 301.4089965820 18.5321140289 0.0645307228 0.3218901157 0.3720644116
20.3991374969 295.5492248535 17.8758316040 0.0685698763 0.2528095245 0.3823620081
20.3415832520 289.8189697266 17.2874031067 0.0725988746 0.1868009567 0.3920976520
20.2695865631 284.2150268555 16.7691535950 0.0766170323 0.1233458519 0.4013765752
20.1762771606 278.7344055176 16.3118381500 0.0806252882 0.0619995594 0.4102609456
20.0636367798 273.3734741211 15.8998098373 0.0846231058 0.0024795532 0.4188692570
19.9350605011 268.1299133301 15.5374088287 0.0886164904 -0.0549507141 0.4272602201
19.7987117767 263.0012817383 15.2074232101 0.0926034600 -0.1111030579 0.4354692698
19.6578998566 257.9847717285 14.8964109421 0.0965879038 -0.1657998562 0.4435253143
19.5182228088 253.0772094727 14.6059007645 0.1005701348 -0.2188932896 0.4513670206
19.3856143951 248.2766723633 14.3235149384 0.1045548171 -0.2707171440 0.4589977562
19.2573776245 243.5807342529 14.0537462234 0.1085537300 -0.3215777874 0.4664877057
19.1309490204 238.9863739014 13.8041849136 0.1125753373 -0.3709161282 0.4737795591
19.0033645630 234.4907684326 13.5707693100 0.1166177392 -0.4189288616 0.4809013307
18.8691539764 230.0912780762 13.3532876968 0.1206820756 -0.4649698734 0.4878368974
18.7346878052 225.7850494385 13.1469039917 0.1247782335 -0.5085563660 0.4945831895
18.5984420776 221.5694122314 12.9623727798 0.1289008111 -0.5496180058 0.5011482239
18.4636783600 217.4422302246 12.7884492874 0.1330472678 -0.5884599686 0.5075358748
18.3311729431 213.4012908936 12.6204490662 0.1372202337 -0.6249141693 0.5137732029
18.2000122070 209.4450531006 12.4564571381 0.1414173990 -0.6592655182 0.5198777914
18.0758762360 205.5716552734 12.2978811264 0.1456390619 -0.6920027733 0.5257192850
17.9552917480 201.7788543701 12.1441879272 0.1498888433 -0.7231962681 0.5312612057
17.8316764832 198.0648193359 11.9984922409 0.1541629583 -0.7529842854 0.5364532471
17.7044353485 194.4271545410 11.8641090393 0.1584625840 -0.7817947865 0.5413378477
17.5817413330 190.8639373779 11.7405405045 0.1627943814 -0.8095407486 0.5458840132
17.4645767212 187.3732757568 11.6155557632 0.1671519279 -0.8366060257 0.5502251387
17.3496570587 183.9531402588 11.4939451218 0.1715367138 -0.8632397652 0.5544010401
17.2399444580 180.6019592285 11.3765134811 0.1759530604 -0.8893465996 0.5584210157
17.1293258667 177.3179321289 11.2639732361 0.1804077178 -0.9149169922 0.5622590184
17.0182628632 174.0990753174 11.1550960541 0.1848974079 -0.9403336048 0.5659458637
16.9054870605 170.9438934326 11.0468931198 0.1894261688 -0.9646666050 0.5694718361
16.7956390381 167.8512268066 10.9400854111 0.1939890683 -0.9879875183 0.5728362799
16.6913414001 164.8199157715 10.8341913223 0.1985840648 -1.0105323792 0.5761323571
16.5871067047 161.8492431641 10.7274894714 0.2032095641 -1.0322546959 0.5792684555
16.4826774597 158.9379272461 10.6212081909 0.2078600675 -1.0533154011 0.5823808908
16.3803558350 156.0846710205 10.5183601379 0.2125374377 -1.0737526417 0.5854680538
16.2774696350 153.2882232666 10.4173870087 0.2172364146 -1.0936141014 0.5885757804
16.1738262177 150.5473937988 10.3186407089 0.2219592184 -1.1128735542 0.5916633010
16.0728530884 147.8608703613 10.2207603455 0.2267003506 -1.1316275597 0.5946820974
15.9750747681 145.2271728516 10.1229648590 0.2314486951 -1.1500465870 0.5975813866
15.8711805344 142.6448211670 10.0316925049 0.2361927778 -1.1683404446 0.6003433466
15.7620592117 140.1119842529 9.9458045959 0.2409295291 -1.1866497993 0.6029095054
15.6488094330 137.6274414062 9.8621988297 0.2456603944 -1.2050306797 0.6052836776
