#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-6.2323541641 32.4728927612 -1.9463113546 10.8229341507 0.0000000000 0.0000000000 -0.0183472373 1.2342121601
-6.0849332809 32.2144470215 -1.8615807295 10.7669944763 0.0000000000 0.0000000000 -0.0184652843 1.2454781532
-5.9405279160 31.9601612091 -1.7812224627 10.7098464966 0.0000000000 0.0000000000 -0.0187023133 1.2565079927
-5.7990102768 31.7101593018 -1.7036923170 10.6522254944 0.0000000000 0.0000000000 -0.0189661849 1.2672894001
-5.6602668762 31.4644927979 -1.6302520037 10.5930614471 0.0000000000 0.0000000000 -0.0192622375 1.2782019377
-5.5240473747 31.2233848572 -1.5610613823 10.5318136215 0.0000000000 0.0000000000 -0.0195311829 1.2892777920
-5.3903331757 30.9868659973 -1.4953293800 10.4694948196 0.0000000000 0.0000000000 -0.0197709501 1.3004010916
-5.2591676712 30.7549533844 -1.4334656000 10.4068822861 0.0000000000 0.0000000000 -0.0198803842 1.3117657900
-5.1304531097 30.5277347565 -1.3757475615 10.3464221954 0.0000000000 0.0000000000 -0.0198190901 1.3235359192
-5.0040330887 30.3052845001 -1.3192306757 10.2861728668 0.0000000000 0.0000000000 -0.0196477622 1.3355895281
-4.8799681664 30.0875148773 -1.2630522251 10.2261638641 0.0000000000 0.0000000000 -0.0194712915 1.3480404615
-4.7581644058 29.8743743896 -1.2065536976 10.1672267914 0.0000000000 0.0000000000 -0.0193258692 1.3608566523
-4.6385602951 29.6658020020 -1.1489839554 10.1061420441 0.0000000000 0.0000000000 -0.0191889256 1.3736877441
-4.5211257935 29.4618530273 -1.0916485786 10.0465192795 0.0000000000 0.0000000000 -0.0190138575 1.3863970041
-4.4056496620 29.2627010345 -1.0351122618 9.9885406494 0.0000000000 0.0000000000 -0.0188142192 1.3987963200
-4.2919931412 29.0683383942 -0.9788962603 9.9323253632 0.0000000000 0.0000000000 -0.0186834186 1.4109790325
-4.1801290512 28.8788070679 -0.9216616154 9.8776712418 0.0000000000 0.0000000000 -0.0186790116 1.4230028391
-4.0700392723 28.6940784454 -0.8641756177 9.8251180649 0.0000000000 0.0000000000 -0.0188122820 1.4345918894
-3.9616222382 28.5140762329 -0.8054478168 9.7718782425 0.0000000000 0.0000000000 -0.0190203339 1.4458218813
-3.8549656868 28.3385238647 -0.7442210913 9.7179136276 0.0000000000 0.0000000000 -0.0191764403 1.4565200806
-3.7501633167 28.1673145294 -0.6819748878 9.6644248962 0.0000000000 0.0000000000 -0.0191758387 1.4668511152
-3.6471898556 28.0003070831 -0.6192304492 9.6090908051 0.0000000000 0.0000000000 -0.0189781357 1.4769506454
-3.5461161137 27.8374271393 -0.5583748817 9.5539970398 0.0000000000 0.0000000000 -0.0186317395 1.4868600368
-3.4470789433 27.6786327362 -0.4995665252 9.4986047745 0.0000000000 0.0000000000 -0.0182187725 1.4963424206
-3.3499677181 27.5239372253 -0.4432405233 9.4434442520 0.0000000000 0.0000000000 -0.0176486336 1.5054141283
-3.2548062801 27.3732662201 -0.3870507181 9.3881645203 0.0000000000 0.0000000000 -0.0169691928 1.5139989853
-3.1615271568 27.2265815735 -0.3334085643 9.3349542618 0.0000000000 0.0000000000 -0.0162526947 1.5222544670
-3.0700893402 27.0837440491 -0.2806210220 9.2828626633 0.0000000000 0.0000000000 -0.0156037677 1.5303581953
-2.9805672169 26.9445724487 -0.2274156809 9.2288789749 0.0000000000 0.0000000000 -0.0151206944 1.5382710695
-2.8929708004 26.8090171814 -0.1766599268 9.1749897003 0.0000000000 0.0000000000 -0.0147233522 1.5458904505
-2.8072082996 26.6770648956 -0.1284674406 9.1244754791 0.0000000000 0.0000000000 -0.0143080493 1.5528845787
-2.7230978012 26.5486793518 -0.0841881558 9.0786705017 0.0000000000 0.0000000000 -0.0138753196 1.5593119860
-2.6406152248 26.4236812592 -0.0433143452 9.0365667343 0.0000000000 0.0000000000 -0.0135364672 1.5651891232
-2.5594811440 26.3021450043 -0.0041992320 8.9943494797 0.0000000000 0.0000000000 -0.0133962529 1.5704421997
-2.4796719551 26.1841011047 0.0324834883 8.9522552490 0.0000000000 0.0000000000 -0.0133969877 1.5752636194
-2.4011888504 26.0695629120 0.0695640221 8.9091644287 0.0000000000 0.0000000000 -0.0134403203 1.5796152353
-2.3239994049 25.9585342407 0.1069900170 8.8648929596 0.0000000000 0.0000000000 -0.0135217113 1.5838968754
-2.2479777336 25.8510723114 0.1431643516 8.8208036423 0.0000000000 0.0000000000 -0.0135731902 1.5882651806
-2.1730821133 25.7470245361 0.1779771447 8.7765531540 0.0000000000 0.0000000000 -0.0135955578 1.5926389694
-2.0991704464 25.6462993622 0.2112075090 8.7338590622 0.0000000000 0.0000000000 -0.0135978283 1.5970172882
-2.0263915062 25.5488739014 0.2426731735 8.6917448044 0.0000000000 0.0000000000 -0.0136427637 1.6014268398
